src\dst,100.0.0.3,100.0.0.4,100.0.0.5,100.0.0.6,100.0.0.7,100.0.0.8,100.0.0.10,100.0.0.11,100.0.0.12,100.0.0.13,100.0.0.14,100.0.0.16,100.0.0.17
100.0.0.3,-,9.41,9.31,9.41,9.41,9.37,9.37,9.34,9.41,9.39,9.33,9.38,9.40
100.0.0.4,9.40,-,9.00,9.42,9.41,9.41,9.41,9.42,9.40,9.41,9.41,9.41,9.41
100.0.0.5,9.41,9.41,-,9.42,9.41,9.36,9.39,9.42,9.40,9.39,9.42,9.41,9.39
100.0.0.6,9.40,9.41,9.32,-,9.41,9.37,9.40,9.37,9.42,9.38,9.39,9.40,9.42
100.0.0.7,9.40,9.40,9.30,9.40,-,9.41,9.35,9.42,9.41,9.40,9.40,9.41,9.41
100.0.0.8,9.40,9.38,9.33,9.41,9.39,-,9.40,9.20,9.39,9.40,9.40,9.37,9.41
100.0.0.10,9.40,9.41,9.30,9.40,9.41,9.41,-,9.41,9.41,9.33,9.37,9.40,9.33
100.0.0.11,9.42,9.40,9.32,9.41,9.42,9.41,9.38,-,9.40,9.41,9.40,9.41,9.40
100.0.0.12,9.42,9.37,9.29,9.41,9.41,9.41,9.40,9.42,-,9.42,9.35,9.40,9.32
100.0.0.13,9.40,9.36,9.25,9.41,9.41,9.41,9.40,9.41,9.42,-,9.42,9.36,9.40
100.0.0.14,9.40,9.40,9.33,9.41,9.42,9.42,9.26,9.41,9.41,9.40,-,9.42,9.41
100.0.0.16,9.41,9.36,9.29,9.42,9.42,9.42,9.33,9.41,9.40,9.38,9.39,-,9.41
100.0.0.17,9.42,9.41,9.35,9.41,9.41,9.42,9.40,9.39,9.40,9.38,9.40,9.42,-
