read_data_time,computing_time,write_disk_time,repair_time
46.1056,12.0195,6.50108,64.7475
38.9514,7.79197,6.5063,53.3198
43.4767,7.47005,5.94409,56.9537
37.3435,8.1765,6.0828,51.7202
32.0429,7.2519,4.6162,43.9799
54.669,12.3479,7.70338,74.8469
34.6502,6.08947,6.2715,47.0698
39.8394,13.1856,6.80329,61.0492
33.4679,8.80139,7.04576,49.3944
39.2333,11.973,6.65603,59.0318
37.5901,13.2306,7.06716,59.002
36.4486,11.3682,5.81171,54.7101
33.3446,8.16055,5.48162,47.0481
35.6135,10.0634,5.22877,50.9765
45.7073,11.2621,5.66252,63.6392
32.021,5.67574,4.57609,42.3312
31.8379,5.66981,4.52295,42.0748
43.4451,8.53187,6.73436,60.1026
44.5398,8.78323,6.99484,60.3931
37.1444,8.3589,7.57633,53.1491
34.9917,9.573,4.94736,52.3371
32.3228,7.82928,6.02714,46.2425
32.0649,12.8871,5.87965,54.7278
37.9669,12.2315,6.39393,57.6539
39.3391,14.0125,7.14979,61.6821
47.0249,12.4259,6.33057,66.8336
36.3135,7.75144,7.60812,51.7483
41.4461,12.2467,6.37702,61.1641
48.2997,9.03336,7.75366,65.1671
47.0403,7.1986,5.79127,60.0911
35.5025,10.5872,5.80178,52.812
32.734,8.8214,7.18829,48.8194
44.2779,11.5319,5.68076,62.4753
38.4608,10.4043,5.78559,55.8777
46.8077,8.50117,7.1034,62.5069
35.088,8.15509,7.84178,51.1692
50.0739,9.87652,8.18048,68.2144
42.8594,8.68258,6.9012,58.5169
32.4717,9.43338,7.45934,49.4551
32.2097,7.43211,6.30957,46.0147
45.0373,11.6303,5.78212,63.4134
46.694,12.4019,6.32027,66.4749
36.1454,9.07022,7.6736,52.967
33.7236,11.4184,5.76094,51.8658
39.9091,11.2603,6.09454,57.3508
33.6251,15.1011,6.68741,55.5041
35.031,8.28863,7.51697,50.9021
39.9187,6.50692,5.42302,51.9057
38.0705,7.70187,6.11463,51.9511
34.48,8.07216,7.09993,49.7198
45.9716,9.41757,8.00225,63.4642
35.7791,7.71518,6.5183,50.0763
32.7795,8.3255,7.24487,48.4104
45.9344,9.67956,8.07469,63.7667
46.2844,8.97296,7.48854,62.8105
31.6121,8.09295,8.11705,47.8945
36.5198,8.59405,8.09102,53.2891
32.5255,6.80598,7.38668,46.7883
32.0335,7.03376,6.64389,45.7742
49.435,11.2125,7.50837,68.2733
32.0321,7.74288,6.16373,45.9975
31.5564,5.81985,5.43875,42.8684
38.5443,8.82747,7.67519,55.1234
32.3583,7.40636,6.66863,46.4923
35.545,8.03177,6.53383,50.1762
35.1999,6.86432,6.56091,48.684
35.7024,6.4905,6.22729,48.4743
50.5397,9.71121,7.6169,69.1592
45.9656,6.87143,6.13476,59.0268
42.4448,8.64083,7.56916,58.7253
44.9651,11.4266,5.76584,63.1729
31.2013,7.76628,6.83419,45.866
43.9825,13.711,7.30656,66.1556
47.8479,13.6318,8.52343,70.1104
30.9669,5.68081,5.41937,42.1206
31.6729,8.08485,6.49099,46.3095
31.2958,8.05806,6.94447,46.3734
32.8871,8.72855,7.67387,49.3778
45.3303,9.03378,7.48219,61.9513
32.8878,10.0382,8.01286,51.0163
31.6395,8.168,6.96484,46.8441
43.6156,9.218,7.82068,60.7273
39.7174,12.9742,6.99229,60.8807
41.0106,8.10041,7.3391,56.5191
33.2343,7.72005,6.55228,47.5733
33.2053,13.6065,7.40778,55.424
36.1288,9.97301,8.60619,54.7814
50.5098,7.9025,7.34505,65.8344
47.9678,8.90684,8.60051,65.5416
40.1966,9.44944,7.75536,57.4829
39.1624,8.37084,7.90484,55.5138
32.023,8.15787,6.24973,46.4921
43.6731,8.00309,7.97614,60.5331
45.5828,13.7443,7.93209,70.4843
40.7,14.4474,7.45026,63.8222
32.6657,8.31046,6.54988,47.5907
39.4179,13.5269,6.94108,63.0913
48.994,10.5789,5.9488,67.1341
32.5672,6.91394,6.75024,46.2986
39.9271,12.2015,7.48842,61.498
33.5201,9.19621,7.16906,49.9753
45.5134,12.3347,7.77675,65.7231
37.6908,7.26336,6.806,51.8314
37.9357,8.41707,7.01327,53.444
32.9325,8.55968,6.82521,48.3833
32.0272,8.3922,7.93999,48.4246
37.7995,13.9546,7.38813,60.3125
53.9952,9.14668,8.40113,71.6057
33.8421,7.87877,7.11794,48.9083
41.1666,9.54927,8.8758,59.6563
39.6007,6.86629,7.22834,53.7662
44.7733,11.9789,6.64527,64.5884
31.7971,8.31659,8.84685,49.0261
56.1717,8.14203,6.3443,70.7258
32.436,7.20366,5.77515,45.4729
32.5628,8.11157,7.08471,47.8274
33.3522,7.40201,5.34289,46.159
37.3858,6.68445,5.77608,49.8996
39.3066,9.08095,7.43821,55.9002
49.063,7.22978,5.41334,61.7602
34.7695,8.75611,7.29431,50.8887
44.8217,13.3705,7.16398,66.5657
40.3817,8.04764,6.39021,54.8824
35.9953,8.10862,8.85404,53.048
34.7611,9.31154,7.86153,52.0195
35.4693,9.28455,8.74765,53.5701
33.0814,8.91371,7.44462,49.5215
32.5246,8.68256,7.52011,48.7913
44.7881,11.7515,6.02906,63.6286
44.7046,8.64006,6.88216,60.2959
35.9364,8.07175,6.29094,50.3571
44.5576,8.28559,8.71152,61.6255
35.4265,8.51136,7.47108,51.4731
46.1008,13.4559,7.27573,68.0572
34.2728,7.73667,6.4265,48.5121
42.6608,10.8509,5.71167,60.2247
41.7392,8.77242,7.35801,57.9427
48.815,8.83695,8.10164,65.8405
35.1149,7.21331,6.2929,48.6791
35.6584,7.93689,6.46673,50.1247
42.5898,9.12255,7.92512,59.701
32.5397,8.75452,7.27867,48.6432
32.0795,7.51342,6.01519,45.6673
48.003,12.1623,6.06094,67.3274
42.0401,8.71912,7.92421,58.7587
42.2942,13.0551,7.00305,63.4598
33.0908,7.02797,7.05377,47.2399
45.9861,8.88889,8.11918,63.0596
41.4849,9.33958,8.14558,59.0366
32.9902,7.99571,7.08306,48.1358
39.4632,9.66489,7.92558,57.1309
47.2805,8.47411,8.23483,64.0542
38.7565,11.9214,6.96423,58.194
38.4905,7.9726,7.67578,54.2104
31.9412,8.14145,6.88068,47.0231
44.2064,9.42528,7.61624,61.3178
35.2135,8.48709,7.33284,51.1023
43.1372,8.02403,7.46804,58.6933
43.0104,7.28984,5.70009,56.0575
38.1757,6.06546,6.0871,50.3764
44.8216,8.08066,6.4866,59.4614
31.4887,7.45317,6.8688,45.8829
42.748,8.05804,7.99704,58.8683
41.9959,7.64517,6.37929,56.0767
34.7472,6.80212,6.19565,47.8046
42.5546,9.58744,8.54933,60.7676
42.2518,8.20364,7.47569,57.9996
43.6798,8.40277,6.92083,59.07
36.7983,9.26143,8.0383,54.1628
33.7618,7.34809,8.19404,49.377
34.8337,7.52151,7.02236,49.4481
52.0626,9.14617,8.28775,69.5822
