read_data_time,computing_time,write_disk_time,repair_time
37.6905,8.2712,7.07028,54.6538
51.8394,8.49498,6.46187,68.1909
46.1439,7.84828,5.76837,59.8297
42.0832,8.6693,7.39262,59.4537
43.0359,11.0382,7.12862,66.2254
51.7259,7.79567,7.58249,68.0411
37.3227,11.4375,7.22406,56.0932
58.5556,8.5011,6.86883,74.0699
42.0559,8.73113,7.87094,59.8163
40.9841,8.53926,6.50465,57.1206
38.4083,7.33548,5.91432,52.1982
46.4418,3.84013,5.25121,55.5756
41.5654,8.78596,7.58783,58.0354
45.601,7.90906,6.73929,60.3228
41.6107,4.42359,6.63367,52.7188
36.3338,12.0465,7.35876,55.8398
35.0444,3.73541,5.71776,44.548
52.6818,4.21456,6.19222,63.1377
46.9316,8.20004,6.27548,61.4929
34.5524,3.989,5.14751,43.7342
38.6669,4.14226,6.74858,49.611
47.6667,3.74155,5.1237,56.5853
35.5907,4.14051,6.78518,46.5662
49.1111,4.45895,6.86077,60.5003
46.0724,4.08406,6.24189,57.3176
39.2177,7.07687,5.77367,52.6707
39.6087,4.28999,5.85989,49.8158
41.8426,4.41243,6.90278,53.2039
45.3471,8.71208,8.51132,62.6577
49.0484,4.63004,9.17011,62.9042
43.3639,4.41475,7.18992,55.0475
42.5591,4.15246,5.83222,52.6065
43.1457,4.24885,6.62254,55.029
38.5094,7.56908,6.29254,53.8454
43.2295,4.35154,8.29074,55.9301
42.4812,3.89306,5.08854,51.5094
52.7395,4.15503,7.03819,63.9834
44.705,4.00221,5.07896,53.8351
43.4579,4.20856,6.0037,53.7298
47.0569,3.57782,5.19979,55.9006
39.4158,8.7671,6.75678,55.4738
43.0042,4.23147,6.02845,53.325
52.4003,4.69846,9.35209,66.5165
39.0154,3.83634,5.30917,48.2035
37.4232,4.12098,5.79265,47.3958
36.3622,3.99654,6.8327,47.2631
44.9578,4.31315,6.14701,55.4865
43.8713,4.17943,5.8616,53.9767
42.3722,3.61784,5.0961,51.1297
53.6202,3.64963,5.024,62.3371
35.0039,3.95126,6.06207,45.0654
42.1561,3.72435,5.04536,50.9704
35.7257,4.07388,6.96494,46.8249
39.7934,4.61261,8.06025,52.5309
47.5759,4.57017,9.19993,61.4088
35.3235,3.95565,5.0629,44.3969
52.3203,4.21399,5.9396,62.5365
50.8819,4.44759,6.51566,61.9037
35.66,4.0261,7.04567,46.7837
45.6036,4.84524,8.86604,59.3787
38.2587,4.08837,5.58703,47.9881
40.9884,4.68029,6.97837,52.6993
36.6535,4.39587,7.05215,48.1531
38.0855,4.11902,6.39742,48.6506
40.7569,4.51631,7.00983,52.3451
35.8796,4.17732,6.41265,46.5228
35.6471,4.7264,7.52525,47.9591
57.1236,4.4928,7.96462,69.6423
43.34,4.40253,6.89247,54.6898
52.1362,4.39367,6.65196,63.2354
45.651,4.5211,6.76302,56.9851
37.9607,4.33701,6.65933,49.0155
38.5996,8.59814,7.00608,54.2895
50.0446,4.55671,7.90529,62.5643
34.7874,4.37323,6.90212,46.1153
36.2125,3.51725,6.27791,46.0568
34.533,3.18511,5.54523,43.3016
41.6087,4.54075,7.25068,53.4813
35.1699,4.11287,6.10649,45.4417
47.3854,4.05544,5.81485,57.308
41.4832,4.56579,7.01023,53.1166
43.204,4.03106,5.35668,52.6413
43.1197,4.42762,6.39776,55.7981
37.3337,4.01294,5.383,46.7775
36.1588,4.13256,7.16757,47.5142
38.22,8.5288,6.4355,53.2575
38.6811,4.53365,7.95919,51.2323
34.5047,4.20769,6.24296,45.0188
35.7156,4.28298,7.1662,47.2183
46.062,3.8167,5.09326,55.0163
35.0617,3.62261,5.12122,43.8426
43.4683,3.68836,5.37198,52.5707
51.8863,4.622,7.88597,64.4527
51.3966,3.84581,5.75497,61.0419
38.5324,8.66857,7.21439,54.4928
34.7876,4.52754,6.82439,46.2043
42.7132,3.77307,5.79601,52.3275
45.3232,3.72198,5.1484,54.2337
36.3446,4.17644,6.34128,46.9178
36.9242,3.72918,5.1658,45.8622
35.3286,4.02972,5.38678,44.8073
38.3207,4.65957,7.88303,50.9236
35.4588,3.742,5.06698,44.3167
52.2797,4.40972,6.60669,63.3525
38.2634,4.35951,6.81803,49.4917
50.0601,3.86755,5.36507,59.3506
52.7171,4.42203,6.20613,65.0473
36.8623,4.28286,6.54219,47.7389
35.5567,4.07994,6.07848,45.7672
37.5162,3.79985,5.15325,46.514
43.7999,4.2511,7.12114,55.2246
36.381,7.69209,5.76073,51.2748
45.773,4.31633,6.48101,56.6206
43.359,5.02365,7.35339,55.8106
48.2331,4.77981,7.7777,60.8539
35.1228,4.30085,6.51537,45.9985
40.4628,4.40543,6.91101,51.8415
40.1635,4.25753,6.49872,50.9702
43.3307,4.15113,5.81705,53.3766
46.4661,4.1854,5.95716,56.6587
45.7043,3.85737,4.9481,54.5525
45.8299,8.66216,6.82819,62.9945
44.1112,4.56349,7.19024,55.927
56.9486,5.23014,9.2903,71.5572
44.7555,4.30104,6.30871,55.4164
47.6414,4.04491,6.39374,58.1391
35.6209,4.39706,7.01832,47.0975
36.8538,4.38879,6.1725,47.4759
37.3201,8.79324,6.87943,54.7646
37.7887,3.9295,6.1984,47.9776
45.8702,3.81056,5.60636,55.3351
38.3532,4.54591,8.30601,51.2808
40.3809,3.92554,5.27757,49.6277
39.3794,4.11998,6.41537,50.4411
39.3426,3.88191,5.90982,49.1837
40.8628,3.90207,5.55045,50.3546
46.7719,4.3231,6.83132,57.977
45.2967,5.03138,9.83281,60.2372
35.8486,3.97362,5.3129,45.1814
50.1235,4.25131,7.23068,61.6549
44.5583,4.27246,6.28372,55.1612
35.3815,4.16905,6.68762,46.292
35.6384,3.86064,6.57002,46.1195
43.154,7.83209,5.99688,57.0599
44.2333,4.44998,6.89226,55.6407
45.4137,4.05932,5.67256,55.1854
35.0426,4.56233,7.27755,46.9431
45.7096,4.02043,5.6117,55.3887
42.7594,4.29719,6.14688,53.2509
39.0156,4.26588,7.13985,50.4849
48.1379,4.74115,8.7158,61.6556
43.8907,4.29891,6.51441,54.7556
41.6421,4.3093,6.4229,53.6399
43.4845,4.91829,9.30601,57.7774
36.7853,4.49585,7.43531,48.7821
36.6389,4.36186,7.06604,48.1225
41.4868,4.12581,5.67408,51.3414
43.0707,4.32114,6.84972,54.2972
38.5268,3.71982,5.04368,47.3297
43.3808,3.55757,5.14916,52.1264
38.3297,4.5448,7.78693,50.7176
36.8034,4.0678,6.67785,47.6076
50.2593,4.07775,5.50449,59.8961
52.1498,3.87499,6.19442,62.2662
34.3459,4.3344,6.76345,45.5061
40.985,4.87069,9.27106,55.1933
51.0783,4.46112,7.80048,63.3906
44.8748,7.74651,5.94994,59.7584
44.6459,4.3075,7.78385,56.7826
38.4328,4.08487,6.25295,48.8232
40.2978,4.44304,7.25068,52.048
50.7429,4.43648,8.70539,63.9396
