read_data_time,computing_time,write_disk_time,repair_time
37.4385,6.81313,7.48968,51.9371
29.8072,5.66632,6.0271,41.6437
34.4481,5.37753,5.47664,45.4265
32.142,6.28133,7.18679,45.7934
31.2653,4.1847,5.03803,40.5897
35.3439,7.29041,9.07605,51.8893
30.5398,5.34025,5.01885,41.0074
32.9197,6.17825,6.96243,46.2156
39.0646,6.33708,6.7269,52.3006
38.4516,7.59239,6.87587,53.0493
29.6687,5.37403,6.14703,41.3193
32.0331,4.44268,5.88964,42.4571
29.9012,6.21757,6.27964,42.539
28.2466,5.93243,5.82732,40.1322
47.166,5.6547,5.89442,58.8209
28.1766,4.95055,5.10439,38.3358
27.1821,3.19017,4.66078,35.1424
27.8633,5.51677,6.93064,40.4373
44.4625,6.19731,6.31067,57.1058
30.2772,6.2937,6.71421,43.4408
27.5038,3.42428,4.74283,35.7679
38.8007,6.75469,6.93356,52.6835
30.0241,6.55415,4.93981,41.6404
31.4422,6.55863,6.88924,45.049
32.5044,6.10555,6.97887,45.7039
32.2739,5.85549,6.36684,44.6334
32.5198,9.15611,6.62954,48.4971
42.3197,5.47288,7.20633,55.1167
43.5723,6.98022,8.7374,59.4612
37.0537,5.7037,8.70497,51.615
30.655,6.80133,7.22202,44.8487
31.3468,6.58185,7.87088,45.9616
37.6553,5.14788,6.37607,49.3171
39.6888,5.93332,5.50132,51.241
31.8943,6.37241,8.38645,46.7992
33.7296,8.59183,7.24423,49.7442
33.2843,6.26726,8.20132,47.9061
33.8028,6.80077,7.87706,48.6213
33.7206,7.42927,7.77521,49.0921
38.1331,6.43361,6.56131,51.2748
31.521,6.46855,7.00415,45.1227
28.4945,5.62211,5.83465,40.1031
30.1544,6.71558,8.70382,45.7333
34.4439,5.07142,6.1731,45.8437
33.4971,6.33661,6.52107,46.5187
29.163,4.10657,4.84409,38.2126
26.8087,6.40285,6.76784,40.1451
30.588,9.07499,6.91158,46.7621
27.9982,6.46178,7.27471,41.9061
29.0211,5.55447,5.8936,40.6178
30.1735,6.21992,7.17553,43.6987
31.6249,6.27708,7.15266,45.2344
26.6664,3.88524,4.51593,35.1663
37.2934,5.55224,6.65759,49.6333
32.2841,5.82092,6.6311,44.8539
38.9669,7.8171,6.85061,53.832
32.5866,8.47158,7.59218,48.8496
30.2101,7.58766,6.22822,44.1865
26.8654,3.13983,4.41157,34.5045
38.2399,5.37374,5.97646,49.6947
29.6523,4.97652,5.93529,40.7036
33.6752,4.09353,4.69378,42.5505
33.8375,5.29189,7.4013,46.6619
29.0467,4.22865,4.78424,38.1505
37.8213,5.93222,7.07611,50.9666
28.5362,4.2745,4.90947,37.8214
49.7386,5.87064,5.78369,61.5293
33.0617,5.84693,6.53649,45.551
32.3729,7.1741,7.14619,46.8208
35.0164,6.54998,6.73187,48.4627
32.0498,5.12997,6.95449,44.2755
32.0049,3.93033,4.72688,40.754
28.729,5.59441,5.92365,40.3592
27.1383,6.54002,7.39684,41.2076
29.0058,3.3738,4.42825,36.8888
27.3323,3.99026,4.37671,35.7894
28.9274,4.51381,5.23674,38.7716
35.3703,6.88494,6.99995,49.4268
28.1394,6.38451,7.15612,41.855
34.0976,5.62369,5.58019,45.4518
36.2421,3.84213,5.00067,45.181
36.4463,8.23181,6.75177,51.5999
31.9646,4.87701,6.4503,43.4122
31.7637,8.28002,8.07313,48.2688
27.9725,4.44945,4.94527,37.4592
39.4887,5.9913,6.59878,52.217
38.1204,5.87236,5.72959,49.8722
30.0818,7.36914,7.03404,44.6485
30.9653,5.53209,6.93982,43.5632
29.8645,6.49385,7.83054,44.3633
28.8618,6.22091,7.75781,42.9908
32.6938,5.90357,7.24982,45.9798
33.2631,8.50623,8.97634,50.9275
26.7619,6.55903,7.06161,40.5236
36.0316,6.16246,6.7367,49.067
28.2068,4.23013,5.80225,38.3383
35.1878,5.76419,6.4992,47.5862
31.6566,9.18396,6.39043,47.3704
32.1394,10.4639,5.2632,47.9799
33.7764,6.28484,7.37177,47.629
33.7675,6.80018,7.92041,48.6616
39.4552,7.07485,9.05027,55.7548
39.8506,7.54013,6.35708,53.9085
37.4412,6.43558,7.79466,51.841
29.6185,9.44112,4.89135,44.0589
34.448,6.24918,7.56886,48.4069
28.7793,6.72201,7.22443,42.853
31.036,5.27252,6.696,43.1739
27.7318,3.27567,5.28207,36.3917
33.4294,5.94097,5.69521,45.1916
44.4937,8.48958,8.59124,61.7539
33.0442,7.04685,6.26261,46.505
35.0552,5.95485,5.77272,46.9288
37.3392,6.64751,6.56317,50.6767
33.8571,4.3052,6.00496,44.308
28.0419,4.16792,4.91448,37.2371
33.3098,6.1463,6.13431,45.7152
36.3245,4.69537,5.96411,47.0906
40.3527,7.21432,7.19447,54.9295
30.2869,6.06554,6.54155,43.028
42.9449,6.99721,7.04873,57.1345
28.2247,6.09686,6.56943,41.0347
31.6248,6.63192,7.16107,45.5395
42.056,6.97859,7.49801,56.7027
32.4261,6.93303,6.78263,46.2873
28.5585,5.48904,7.11094,41.2845
30.8832,5.14684,5.97594,42.1644
38.036,4.46305,4.98794,47.5953
28.3889,4.96336,6.95843,40.4457
28.7851,6.59549,7.78478,43.3165
26.989,6.49962,7.88527,41.5241
44.1785,8.90165,7.98074,61.2394
36.9388,6.45834,6.94671,50.5166
29.6239,6.37202,6.92504,43.0535
37.8733,5.55088,5.97987,49.5411
35.134,6.86,6.40096,48.5217
31.6449,6.36209,7.26796,45.4191
43.9095,7.10241,7.76928,58.9469
37.0917,5.15894,7.77998,50.1592
34.2202,5.92262,5.99971,46.2725
27.4731,5.99434,6.12734,39.7299
29.0853,4.72479,5.2175,39.1459
26.9382,6.24635,5.01314,38.2973
42.3693,5.12978,5.23165,52.8444
31.3191,5.59456,7.00178,44.0765
30.8308,5.18691,7.09944,43.2534
29.272,5.24214,4.93741,39.5388
30.891,6.98708,7.62007,45.6824
35.026,6.6062,6.36242,48.1672
29.4924,7.57385,4.863,42.0367
33.1604,5.67624,8.89016,47.8781
35.2244,5.08415,6.8421,47.2904
45.7961,6.31947,5.51349,57.7711
38.9788,8.96009,7.97497,56.0657
28.8972,5.75098,5.16786,39.9126
34.8233,5.67128,5.94703,46.5886
29.0785,6.35705,6.83232,42.4449
43.1107,7.19909,6.19247,56.6451
32.3079,4.71462,5.76005,42.8946
40.1053,6.76889,5.56662,52.5583
30.7058,6.6892,7.69839,45.2604
28.3218,5.22493,4.98037,38.6262
40.5572,5.08568,5.89545,51.6548
29.5319,4.55417,5.78083,39.9667
30.0174,6.75454,5.92105,42.8007
35.2333,6.33295,6.99116,48.7105
31.8536,4.75573,6.04432,42.7684
31.0954,5.84103,6.11329,43.1693
40.2421,6.01906,6.19102,52.5626
32.334,5.23459,6.04817,43.726
27.9063,5.0438,4.88854,37.9299
35.0957,5.63848,6.05687,46.9103
